id,nome,ano_registo,type,n_reg,lat,lon,score
141,caldeireiros,2016,Apartamento,25307/AL,41.14534927235746,-8.613683434473504,"{'global': 9.0, 'staff': 8.5, 'commodities': 8.8, 'cleanliness': 8.8, 'confort': 9.2, 'price/quality': 8.9, 'location': 9.9}"
241,hospedaria do bonfim,2013,Estabelecimento de hospedagem,5644/AL,41.15002389685078,-8.595374743326188,"{'global': 6.6, 'staff': 7.4, 'commodities': 5.8, 'cleanliness': 6.7, 'confort': 5.5, 'price/quality': 6.7, 'location': 7.4, 'free-wifi': 7.5}"
457,alegria rooms,2016,Estabelecimento de hospedagem,31660/AL,41.146709434970234,-8.603717455211846,"{'global': 8.2, 'staff': 8.8, 'commodities': 7.6, 'cleanliness': 8.2, 'confort': 7.4, 'price/quality': 8.2, 'location': 8.8, 'free-wifi': 8.9}"
495,casa paraíso,2016,Apartamento,32765/AL,41.15755006755081,-8.608751417116348,"{'global': 9.5, 'staff': 10.0, 'commodities': 9.5, 'cleanliness': 9.6, 'confort': 9.3, 'price/quality': 9.5, 'location': 9.2, 'free-wifi': 10.0}"
582,o santo da lapa,2016,Moradia,31616/AL,41.15894443493549,-8.613953076587471,"{'global': 8.4, 'staff': 9.1, 'commodities': 8.0, 'cleanliness': 9.0, 'confort': 8.0, 'price/quality': 8.3, 'location': 7.9, 'free-wifi': 9.7}"
622,home mcm,2016,Apartamento,37099/AL,41.15140096374676,-8.590309488595915,"{'global': 9.2, 'staff': 9.6, 'commodities': 9.1, 'cleanliness': 9.4, 'confort': 9.0, 'price/quality': 9.3, 'location': 8.6, 'free-wifi': 8.9}"
1770,santa catarina apartments,2016,Apartamento,34309/AL,41.15287348250917,-8.604939923937865,"{'global': 7.5, 'staff': 7.9, 'commodities': 6.4, 'cleanliness': 8.2, 'confort': 7.5, 'price/quality': 7.1, 'location': 7.9}"
2248,santa catarina apartments,2017,Apartamento,49359/AL,41.1549676072401,-8.604482036834021,"{'global': 7.5, 'staff': 7.9, 'commodities': 6.4, 'cleanliness': 8.2, 'confort': 7.5, 'price/quality': 7.1, 'location': 7.9}"
2473,a nossa casa,2017,Apartamento,57192/AL,41.1713346948161,-8.657674925605807,"{'global': 9.4, 'staff': 9.7, 'commodities': 9.6, 'cleanliness': 9.8, 'confort': 9.4, 'price/quality': 9.2, 'location': 8.4, 'free-wifi': 10.0}"
2639,db 24 agosto i,2017,Apartamento,48889/AL,41.147364753125096,-8.600057610131804,"{'global': 9.5, 'staff': 9.3, 'commodities': 9.5, 'cleanliness': 9.8, 'confort': 9.5, 'price/quality': 9.6, 'location': 9.2, 'free-wifi': 10.0}"
2751,cn oporto apartments,2017,Apartamento,49676/AL,41.14783710071561,-8.601393268731114,"{'global': 7.6, 'staff': 8.0, 'commodities': 7.1, 'cleanliness': 7.4, 'confort': 7.0, 'price/quality': 7.6, 'location': 8.2, 'free-wifi': 8.4}"
2752,cn oporto apartments,2017,Apartamento,49832/AL,41.14784786714726,-8.601381999449544,"{'global': 7.6, 'staff': 8.0, 'commodities': 7.1, 'cleanliness': 7.4, 'confort': 7.0, 'price/quality': 7.6, 'location': 8.2, 'free-wifi': 8.4}"
2937,lapa apartments,2017,Apartamento,54806/AL,41.15892571291122,-8.61090457150504,"{'global': 9.0, 'staff': 9.0, 'commodities': 8.9, 'cleanliness': 9.6, 'confort': 9.0, 'price/quality': 9.0, 'location': 8.3, 'free-wifi': 9.5}"
