id,nome,ano_registo,type,n_reg,lat,lon,score_global,score_location,score_price/quality,data_levan,nearest_metro,nearest_bus,nearest_tur_point,POI_closer_than_1000
1,metro apartment,2016.0,Apartamento,35375/AL,41.152553792999605,-8.610274113044303,6.9,8.4,6.2,1488758400000.0,78.58797326428878,38.058921651978935,272.81329899806565,8
2,be happy flat,2016.0,Apartamento,23120/AL,41.15486130532197,-8.610285506600391,9.2,9.3,9.0,1488758400000.0,283.87772895166836,66.83220421093577,523.688311767487,7
3,camões apartment,2016.0,Apartamento,28842/AL,41.155396693414026,-8.610221043785032,9.4,9.1,9.6,1488758400000.0,230.6989035289827,100.77106580361072,583.2979940614279,7
9,estudio 312,2016.0,Apartamento,35922/AL,41.15868014167162,-8.597245262035361,,,,1488758400000.0,662.9104082557033,79.43369432578022,1501.107361319575,2
13,the nature mezzanine,2016.0,Apartamento,30839/AL,41.1497808696591,-8.601977714137764,9.5,9.1,9.2,1488758400000.0,299.68752791777564,84.18989808469048,674.6532177886769,5
14,walkable down town apartments,2016.0,Apartamento,35391/AL,41.153079339599685,-8.602564619638866,9.4,8.6,9.4,1488758400000.0,479.6587525169839,22.864727411175718,790.1292532580933,5
19,apartamento francisco,2016.0,Apartamento,36276/AL,41.16207004758708,-8.644394171562858,7.2,7.5,7.4,1488758400000.0,771.6357371321216,161.20302104517253,3083.6945309944517,0
21,214 porto,2016.0,Estabelecimento de hospedagem,33628/AL,41.148402795972245,-8.62415486947531,9.3,8.9,9.1,1488758400000.0,1105.3055320532662,40.470576047387475,1107.4410686696754,4
27,fonsi house,2015.0,Apartamento,19451/AL,41.15204501660713,-8.604209794520843,9.4,9.2,9.5,1488758400000.0,302.33459490979436,91.97514223913414,619.3107601574411,7
31,sb1,2015.0,Apartamento,21988/AL,41.1512620585405,-8.606318550433762,9.1,9.3,8.9,1488758400000.0,149.13304799466664,38.58952897721558,424.17586494601363,7
32,welcome porto,2015.0,Apartamento,23047/AL,41.15272501059132,-8.60542406040286,8.8,9.4,8.6,1488758400000.0,323.1297473951866,39.23705094420325,558.2569088816446,7
36,alojamento ferreira borges,2016.0,Apartamento,35755/AL,41.14230104484792,-8.615037910049379,7.9,9.6,7.3,1488758400000.0,441.8769575800603,72.3153376167176,157.31614344609983,6
40,dehouse,2016.0,Apartamento,25984/AL,41.15833945797129,-8.608542527479278,9.7,9.2,9.7,1488758400000.0,125.55690096773728,83.88553800220808,931.0156200720695,6
41,oporto happiness apartments,2016.0,Apartamento,33112/AL,41.158886547220895,-8.608704648048317,9.3,9.1,9.4,1488758400000.0,177.75473256987405,75.71853057427867,987.1843653585112,6
44,gardenia apart hotel,2016.0,Moradia,37226/AL,41.15115455073844,-8.601438346310044,9.6,9.4,9.4,1488758400000.0,353.8171435939815,88.89796595648161,785.403548773037,5
45,sc1,2016.0,Apartamento,34175/AL,41.15111111801307,-8.60589537629548,9.3,9.5,8.8,1488758400000.0,140.35352453854648,62.095795196810045,454.31618108566147,7
47,brigitte aurran,2013.0,Moradia,5406/AL,41.15201696545434,-8.612235223864191,,,,1488758400000.0,245.06477431987832,132.8547032369239,221.42286149667962,8
48,porto vintage guesthouse,2015.0,Estabelecimento de hospedagem,13105/AL,41.152515057894455,-8.611845708663365,-1.0,9.1,8.8,1488758400000.0,209.0048953241024,140.8467601974355,264.05756307033386,8
49,gz hostel,2012.0,Apartamento,6294/AL,41.15825785167329,-8.612357353486397,7.5,7.6,7.8,1488758400000.0,281.45084402851467,153.703437961725,900.9652239198576,5
53,são francisco apartments,2015.0,Apartamento,14569/AL,41.14205261803146,-8.618988447623954,8.9,9.2,8.8,1488758400000.0,746.8067532568332,48.615724009854404,387.3418087803548,4
54,porto insight apartments,2015.0,Apartamento,7979/AL,41.14311432801087,-8.612612362822599,9.5,9.7,9.2,1488758400000.0,228.67099203702668,53.1946313790596,83.32322121993757,7
55,holidays homes - bainharia,2015.0,Apartamento,19748/AL,41.14338070961232,-8.612357897816048,8.3,9.4,7.8,1488758400000.0,192.49307382145642,58.288964797142704,72.92846473596026,7
59,dear porto guest house,2013.0,Estabelecimento de hospedagem,6815/AL,41.152703285034775,-8.604633160706301,8.6,8.9,8.6,1488758400000.0,344.9069491024037,96.26608483305084,615.3959059700803,7
63,my home in porto ii,2016.0,Apartamento,37939/AL,41.162902276132044,-8.623335765850719,9.2,8.3,9.0,1488758400000.0,485.0907804140367,75.58630767940161,1741.484220626501,0
64,globo,2016.0,Apartamento,32947/AL,41.16350249498772,-8.613248273978503,7.7,7.4,7.6,1488758400000.0,762.9990018560695,58.25771136214394,1487.921338054448,3
69,t0 house,2016.0,Moradia,26235/AL,41.14787228874104,-8.601062410888064,9.1,8.8,9.3,1488758400000.0,222.0643507864336,64.61889966411061,700.0243043122722,5
71,oporto4you apartments - marquês 275,2016.0,Apartamento,34577/AL,41.16137261564165,-8.601642651349803,9.3,8.6,9.4,1488758400000.0,237.509542493991,137.6959955131753,1476.4310756139969,1
78,residencial d.duarte i,2011.0,Estabelecimento de hospedagem,12275/AL,41.14578572794344,-8.597590412703623,7.4,8.0,7.7,1488758400000.0,340.8783499655524,75.95255511283999,1005.896208197497,2
84,"delfim silva & duarte, lda",2010.0,Estabelecimento de hospedagem,6939/AL,41.15512339789347,-8.603039114464321,8.3,7.9,8.4,1488758400000.0,574.7708830043897,15.54359752440238,874.8399888616702,5
85,bela star - pensão residencial,2012.0,Estabelecimento de hospedagem,6218/AL,41.15637051354099,-8.602123763360987,6.4,7.0,6.7,1488758400000.0,562.7841872007463,115.00047863144077,1023.1389334708892,5
91,boavista guest house,2010.0,Estabelecimento de hospedagem,5739/AL,41.15648100475968,-8.621212809156589,-1.0,8.3,8.4,1488758400000.0,252.1303952484312,44.79199899991534,1094.2521856516182,3
93,so cool hostel,2013.0,Moradia,6686/AL,41.156688722865745,-8.622559619165294,8.8,8.4,8.9,1488758400000.0,214.48915438069747,96.28267895834914,1197.2128705583245,3
98,santo ildefonso,2015.0,Apartamento,20719/AL,41.14609456784561,-8.605355647340161,7.8,8.9,8.3,1488758400000.0,435.21209927028985,71.92435908968325,368.25777997635765,6
107,marfim guesthouse,2010.0,Estabelecimento de hospedagem,5671/AL,41.15490758332925,-8.616318687426496,6.4,7.3,6.3,1488758400000.0,245.3232824537212,124.72638229712099,678.6955639720509,7
109,carla calçada,2015.0,Apartamento,16680/AL,41.14316764363747,-8.602869504308577,7.0,8.2,6.5,1488758400000.0,682.5753411899414,97.96773735868449,721.708462620237,3
110,residencial porto novo,2012.0,Estabelecimento de hospedagem,7052/AL,41.143564560284695,-8.60410453674267,6.9,8.1,7.0,1488758400000.0,571.7071956000959,19.78783743328275,615.4017049248359,5
111,residencial dom filipe i,2010.0,Estabelecimento de hospedagem,5905/AL,41.14456042591127,-8.60601372589697,7.5,8.7,7.4,1488758400000.0,399.1599752214158,71.13823849854752,424.5204838232844,7
112,fernando manuel simões do vale,2015.0,Apartamento,14956/AL,41.14465683869199,-8.606331122218826,-1.0,9.0,7.6,1488758400000.0,372.45683087198125,98.0368944206044,399.0028304670412,7
113,casa 45,2015.0,Estabelecimento de hospedagem,9580/AL,41.15036366352577,-8.613594148668092,-1.0,9.6,9.3,1488758400000.0,298.259384928837,92.67527846555149,204.2026770272879,8
116,apartamento coração da sé porto,2015.0,Apartamento,16682/AL,41.1437022425041,-8.608532744314404,9.7,9.8,9.5,1488758400000.0,214.1733819285591,50.732762244861526,270.25033852624773,7
117,citydrops-hostel unipessoal lda,2014.0,Moradia,6384/AL,41.15407383027893,-8.607524186310032,7.9,8.3,8.2,1488758400000.0,241.1709390507673,79.4219318140821,528.5656059512448,7
123,best guest hostel,2015.0,Estabelecimento de hospedagem-Hostel,20147/AL,41.14444291212801,-8.612116353841166,9.0,9.7,8.8,1488758400000.0,114.964702878716,92.0422430935561,162.572274022115,8
124,oporto invictus hostel,2010.0,Estabelecimento de hospedagem,2489/AL,41.14975730520985,-8.614998441498804,8.8,9.2,8.7,1488758400000.0,362.9513877267892,89.77848079694611,324.74720969796846,7
130,portovivo,2016.0,Apartamento,34963/AL,41.15428643137857,-8.607876979907306,9.1,8.9,9.1,1488758400000.0,243.3963257775737,111.98733847212013,532.0148251942617,7
131,nuno,2016.0,Apartamento,23111/AL,41.15319774240369,-8.607864064190517,8.8,8.9,8.8,1488758400000.0,153.455377339128,52.365210601229975,434.0165779914973,6
139,miss opo,2016.0,Estabelecimento de hospedagem,31192/AL,41.14554213704995,-8.613150237855125,8.5,9.5,8.1,1488758400000.0,223.92073828471612,69.26208083485015,307.19817673978247,9
142,casa dos caldeireiros,2016.0,Estabelecimento de hospedagem,23798/AL,41.14495825415399,-8.614107697209574,9.4,9.7,9.3,1488758400000.0,282.4901253276679,114.29921422429688,298.94657606043967,9
143,t0 no porto,2016.0,Apartamento,34325/AL,41.14494268191418,-8.61516483928891,8.3,8.8,8.5,1488758400000.0,370.4792691718456,60.72427192646411,365.30419112996566,8
146,bc hostel & suites,2016.0,Estabelecimento de hospedagem,31936/AL,41.16247328779719,-8.618822988782993,8.5,7.4,8.5,1488758400000.0,517.2767965217444,80.21333137020522,1507.0168315667981,0
150,being porto hostel,2016.0,Estabelecimento de hospedagem-Hostel,23970/AL,41.14264746575101,-8.615618821463816,9.1,9.6,8.9,1488758400000.0,462.7499473568556,17.40616318705038,209.27626448535113,7
156,yellow tiles,2016.0,Apartamento,37906/AL,41.155477322483655,-8.615315883064214,8.5,8.7,8.3,1488758400000.0,217.39362480448028,140.62194140251057,682.0898106417083,7
160,casa dos loios,2014.0,Estabelecimento de hospedagem,6630/AL,41.145058951118656,-8.612206080106352,-1.0,9.8,8.7,1488758400000.0,129.57241323717795,83.3266193356062,230.85905123419516,8
