,address,name,score,type
0,"-8.64119638136512,41.1258056476066,-8.59339531132096,41.1617364807528",Historical Center - Taipas Apartments,"{'global': 9.0, 'staff': 9.4, 'commodities': 8.6, 'cleanliness': 9.0, 'confort': 8.5, 'price/quality': 8.8, 'location': 9.5, 'free-wifi': 9.3}",Apartamento 
1,"-8.63652588713775,41.127241420398,-8.58872377049611,41.1631722535442",Caldeireiros Feel at Hom,"{'global': 9.4, 'staff': 9.7, 'commodities': 9.1, 'cleanliness': 9.7, 'confort': 9.1, 'price/quality': 9.0, 'location': 9.8, 'free-wifi': 10.0}",Apartamento 
2,"-8.63675247960119,41.1256535834269,-8.58895152039881,41.1615844165731",Villa Mouzinho Apartments & Suites,"{'global': 9.2, 'staff': 8.5, 'commodities': 9.2, 'cleanliness': 9.4, 'confort': 9.2, 'price/quality': 9.0, 'location': 9.8, 'free-wifi': 9.1}",Casa de hóspedes 
3,"-8.63906175672274,41.129908051809,-8.59125769605579,41.1658388849552",BO - Sá de Noronha Apartments,"{'global': 9.8, 'staff': 9.9, 'commodities': 9.8, 'cleanliness': 9.9, 'confort': 9.8, 'price/quality': 9.5, 'location': 9.8, 'free-wifi': 9.8}",Apartamento 
4,"-8.62863120423568,41.1266330303766,-8.58082953108536,41.1625638635228",Porto Duke's Hous,"{'global': 9.7, 'staff': 9.8, 'commodities': 9.7, 'cleanliness': 9.8, 'confort': 9.5, 'price/quality': 9.5, 'location': 9.7, 'free-wifi': 9.2}",Apartamento 
5,"-8.64125901281481,41.1247068307935,-8.59345874369497,41.1606376639397",Shining View,"{'global': 9.6, 'staff': 9.7, 'commodities': 9.5, 'cleanliness': 9.7, 'confort': 9.3, 'price/quality': 9.3, 'location': 9.7, 'free-wifi': 9.3}",Apartamento 
6,"-8.63607147759963,41.1276480667179,-8.58826906452196,41.1635788998641",HM - Loios Trendy Apartmen,"{'global': 9.2, 'staff': 9.0, 'commodities': 9.0, 'cleanliness': 9.1, 'confort': 8.9, 'price/quality': 9.0, 'location': 9.9, 'free-wifi': 8.3}",Apartamento 
7,"-8.64198425997868,41.1264848445615,-8.59418269484765,41.1624156777077",Cosy Virtudes Apartmen,"{'global': 9.2, 'staff': 9.4, 'commodities': 8.8, 'cleanliness': 9.3, 'confort': 8.9, 'price/quality': 9.1, 'location': 9.6, 'free-wifi': 9.3}",Apartamento 
8,"-8.6271657983763,41.1447282948285,-8.57935092869897,41.1806591279747",Casa Marquês,"{'global': 9.5, 'staff': 9.5, 'commodities': 9.5, 'cleanliness': 9.6, 'confort': 9.2, 'price/quality': 9.6, 'location': 9.2}",Apartamento 
9,"-8.63594551779615,41.1227598700393,-8.58814666770114,41.1586907031855",Ribeira 24,"{'global': 8.5, 'staff': 8.3, 'commodities': 8.1, 'cleanliness': 8.7, 'confort': 8.3, 'price/quality': 8.2, 'location': 9.4, 'free-wifi': 8.3}",Apartamento 
